area_fips,own_code,industry_code,agglvl_code,annual_avg_estabs
10000,5,53,54,1312
10000,5,54,54,9969
10000,5,55,54,921
10000,5,56,54,5178
10000,5,61,54,711
10000,5,62,54,6552
10000,5,71,54,599
10000,5,72,54,2595
10000,5,81,54,2502
10000,5,99,54,5
11000,5,11,54,2
11000,5,22,54,39
11000,5,23,54,1331
11000,5,31-33,54,220
11000,5,42,54,1818
11000,5,44-45,54,1970
11000,5,48-49,54,344
11000,5,51,54,2378
11000,5,52,54,1889
11000,5,53,54,1614
11000,5,54,54,14454
11000,5,55,54,630
11000,5,56,54,3349
11000,5,61,54,1467
11000,5,62,54,5486
11000,5,71,54,700
11000,5,72,54,2938
11000,5,81,54,10053
11000,5,99,54,212
12000,5,11,54,5354
12000,5,21,54,518
12000,5,22,54,1640
12000,5,23,54,86656
12000,5,31-33,54,27136
12000,5,42,54,41398
12000,5,44-45,54,83056
12000,5,48-49,54,21962
12000,5,51,54,19056
12000,5,52,54,45276
12000,5,53,54,50246
12000,5,54,54,149129
12000,5,55,54,7915
12000,5,56,54,65996
12000,5,61,54,12432
12000,5,62,54,95995
12000,5,71,54,13956
12000,5,72,54,54236
12000,5,81,54,61790
12000,5,99,54,18447
13000,5,11,54,2785
13000,5,21,54,288
13000,5,22,54,651
13000,5,23,54,28744
13000,5,31-33,54,13591
13000,5,42,54,21147
13000,5,44-45,54,38582
13000,5,48-49,54,11097
13000,5,51,54,10524
13000,5,52,54,20102
13000,5,53,54,17032
13000,5,54,54,59849
13000,5,55,54,2049
13000,5,56,54,24735
13000,5,61,54,5094
13000,5,62,54,37190
13000,5,71,54,5518
13000,5,72,54,27143
13000,5,81,54,24048
13000,5,99,54,36410
15000,5,11,54,556
15000,5,21,54,14
15000,5,22,54,113
15000,5,23,54,4494
15000,5,31-33,54,1196
15000,5,42,54,2146
15000,5,44-45,54,4642
15000,5,48-49,54,1337
15000,5,51,54,1628
15000,5,52,54,2010
15000,5,53,54,2274
15000,5,54,54,6728
15000,5,55,54,477
15000,5,56,54,3557
15000,5,61,54,1147
15000,5,62,54,6208
15000,5,71,54,973
15000,5,72,54,5200
15000,5,81,54,4969
15000,5,99,54,10103
16000,5,11,54,2704
16000,5,21,54,262
16000,5,22,54,380
16000,5,23,54,13193
16000,5,31-33,54,4221
16000,5,42,54,5425
16000,5,44-45,54,7046
16000,5,48-49,54,2893
16000,5,51,54,2898
16000,5,52,54,5405
16000,5,53,54,4135
16000,5,54,54,15614
16000,5,55,54,690
16000,5,56,54,6442
16000,5,61,54,1740
16000,5,62,54,12614
16000,5,71,54,1470
16000,5,72,54,5346
16000,5,81,54,5747
16000,5,99,54,818
17000,5,11,54,2728
17000,5,21,54,602
17000,5,22,54,841
17000,5,23,54,31950
17000,5,31-33,54,19262
17000,5,42,54,21877
17000,5,44-45,54,34208
17000,5,48-49,54,20560
17000,5,51,54,9674
17000,5,52,54,19961
17000,5,53,54,13668
17000,5,54,54,60822
17000,5,55,54,1782
17000,5,56,54,21220
17000,5,61,54,5852
17000,5,62,54,37337
17000,5,71,54,6076
17000,5,72,54,28458
17000,5,81,54,33500
17000,5,99,54,606
18000,5,11,54,2208
18000,5,21,54,304
18000,5,22,54,616
18000,5,23,54,17198
18000,5,31-33,54,9473
18000,5,42,54,14955
18000,5,44-45,54,21057
18000,5,48-49,54,6953
18000,5,51,54,3360
18000,5,52,54,11840
18000,5,53,54,8330
18000,5,54,54,27288
18000,5,55,54,1415
18000,5,56,54,12378
18000,5,61,54,2566
18000,5,62,54,18544
18000,5,71,54,2672
18000,5,72,54,14809
18000,5,81,54,14534
18000,5,99,54,143
19000,5,11,54,2814
19000,5,21,54,192
19000,5,22,54,353
19000,5,23,54,9441
19000,5,31-33,54,4235
19000,5,42,54,7729
19000,5,44-45,54,10940
19000,5,48-49,54,3940
19000,5,51,54,2606
19000,5,52,54,7448
19000,5,53,54,3730
19000,5,54,54,12616
19000,5,55,54,2169
19000,5,56,54,6209
19000,5,61,54,1449
19000,5,62,54,12877
19000,5,71,54,1532
19000,5,72,54,7435
19000,5,81,54,7556
20000,5,11,54,1952
20000,5,21,54,818
20000,5,22,54,262
20000,5,23,54,7501
20000,5,31-33,54,3522
20000,5,42,54,7143
20000,5,44-45,54,8836
20000,5,48-49,54,2848
20000,5,51,54,2734
20000,5,52,54,6330
20000,5,53,54,3043
20000,5,54,54,14191
20000,5,55,54,875
20000,5,56,54,6994
20000,5,61,54,1126
20000,5,62,54,11416
20000,5,71,54,1020
20000,5,72,54,6229
20000,5,81,54,6236
21000,5,11,54,1505
21000,5,21,54,432
21000,5,22,54,448
21000,5,23,54,12089
21000,5,31-33,54,7460
21000,5,42,54,8272
21000,5,44-45,54,17312
21000,5,48-49,54,4690
21000,5,51,54,4347
21000,5,52,54,8876
21000,5,53,54,5785
21000,5,54,54,22396
21000,5,55,54,984
21000,5,56,54,9300
21000,5,61,54,2003
21000,5,62,54,25195
21000,5,71,54,2032
21000,5,72,54,10107
21000,5,81,54,10594
21000,5,99,54,1107
22000,5,11,54,1491
22000,5,21,54,1498
22000,5,22,54,534
22000,5,23,54,12964
22000,5,31-33,54,4581
22000,5,42,54,8566
22000,5,44-45,54,18910
22000,5,48-49,54,5366
22000,5,51,54,2894
22000,5,52,54,9142
22000,5,53,54,6238
22000,5,54,54,21863
22000,5,55,54,1627
22000,5,56,54,9907
22000,5,61,54,2057
22000,5,62,54,18463
22000,5,71,54,2298
22000,5,72,54,13016
22000,5,81,54,10051
22000,5,99,54,84
23000,5,11,54,1628
23000,5,21,54,37
23000,5,22,54,137
23000,5,23,54,6466
23000,5,31-33,54,1844
23000,5,42,54,2941
23000,5,44-45,54,5933
23000,5,48-49,54,1345
23000,5,51,54,1795
23000,5,52,54,2399
23000,5,53,54,2110
23000,5,54,54,11070
23000,5,55,54,2556
23000,5,56,54,4007
23000,5,61,54,922
23000,5,62,54,5615
23000,5,71,54,1018
23000,5,72,54,4447
23000,5,81,54,3980
23000,5,99,54,3266
24000,5,11,54,898
24000,5,21,54,133
24000,5,22,54,450
24000,5,23,54,16418
24000,5,31-33,54,5215
24000,5,42,54,8452
24000,5,44-45,54,17447
24000,5,48-49,54,4571
24000,5,51,54,6061
24000,5,52,54,9262
